name,position,player_url,age,minutes,transfer,transfer_url,height,foot,birthplace,main_pos,2nd_pos,3rd_pos,club,club_url
Ted Curd,Goalkeeper,https://www.transfermarkt.co.uk/ted-curd/profil/spieler/857792,18.0,1440,"On loan from Chelsea FC U21 until May 31, 2025",https://www.transfermarkt.co.uk/chelsea-fc-u21/kadernaechstesaison/verein/9250/saison_id/2024,1.9,right,London,Goalkeeper,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Kai Crampton,Goalkeeper,https://www.transfermarkt.co.uk/kai-crampton/profil/spieler/1011134,17.0,90,On loan from Chelsea FC U18,https://www.transfermarkt.co.uk/chelsea-fc-u18/startseite/verein/6918/saison_id/2024,,right,Watford,Goalkeeper,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Luka Ziger,Goalkeeper,https://www.transfermarkt.co.uk/luka-ziger/profil/spieler/966926,19.0,0,Joined from AFC Wimbledon U18 ,https://www.transfermarkt.co.uk/afc-wimbledon-u18/startseite/verein/25136/saison_id/2024,,Unknown,Zagreb,Goalkeeper,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Ollie Davies,Goalkeeper,https://www.transfermarkt.co.uk/ollie-davies/profil/spieler/1076909,18.0,0,Unknown,,,Unknown,Unknown,Goalkeeper,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Dominic Revan,Defender,https://www.transfermarkt.co.uk/dominic-revan/profil/spieler/503750,24.0,844,Unknown,,1.8,right,West Bromwich,Centre-Back,Right-Back,Left-Back,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Raheem Fernandes,Defender,https://www.transfermarkt.co.uk/raheem-fernandes/profil/spieler/1046364,,0,Unknown,,,Unknown,Unknown,Left-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Reda Omar-Anintah,Defender,https://www.transfermarkt.co.uk/reda-omar-anintah/profil/spieler/1080996,,0,Unknown,,,Unknown,Unknown,Centre-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Billy French,Defender,https://www.transfermarkt.co.uk/billy-french/profil/spieler/683915,21.0,503,Joined from Tonbridge Angels,https://www.transfermarkt.co.uk/tonbridge-angels/startseite/verein/14672/saison_id/2024,1.89,right,Unknown,Centre-Back,Right-Back,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Kristian Campbell,Defender,https://www.transfermarkt.co.uk/kristian-campbell/profil/spieler/471913,30.0,872,Joined from Gosport Borough,https://www.transfermarkt.co.uk/gosport-borough/startseite/verein/20955/saison_id/2024,1.83,left,London,Left-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Dean Inman,Defender,https://www.transfermarkt.co.uk/dean-inman/profil/spieler/409691,34.0,0,Unknown,,1.81,Unknown,Isleworth,Centre-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Jack Taylor,Defender,https://www.transfermarkt.co.uk/jack-taylor/profil/spieler/1238020,19.0,1530,"On loan from Sutton United until May 31, 2025",https://www.transfermarkt.co.uk/sutton-united/kadernaechstesaison/verein/3052/saison_id/2024,1.93,right,Bexhill-on-Sea,Centre-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Renedi Masampu,Defender,https://www.transfermarkt.co.uk/renedi-masampu/profil/spieler/530077,25.0,162,Joined from Without Club,https://www.transfermarkt.co.uk/without-club/startseite/verein/515/saison_id/2024,1.77,left,London,Left-Back,Centre-Back,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Archy Taylor,Defender,https://www.transfermarkt.co.uk/archy-taylor/profil/spieler/1299557,21.0,949,Joined from Westfield FC,https://www.transfermarkt.co.uk/westfield-fc/startseite/verein/34487/saison_id/2024,,Unknown,Coulsden,Right-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Jerry Wiltshire,Defender,https://www.transfermarkt.co.uk/jerry-wiltshire/profil/spieler/661377,28.0,817,Joined from Hayes & Yeading FC,https://www.transfermarkt.co.uk/hayes-amp-yeading-fc/startseite/verein/6908/saison_id/2024,1.93,right,London,Right-Back,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
James Comley,Midfield,https://www.transfermarkt.co.uk/james-comley/profil/spieler/96471,33.0,0,Unknown,,1.78,right,London,Central Midfield,Defensive Midfield,Centre-Back,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Jake Gray,Midfield,https://www.transfermarkt.co.uk/jake-gray/profil/spieler/244290,28.0,1356,Unknown,,1.8,Unknown,Aylesbury,Central Midfield,Right Midfield,Left Midfield,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Mauro Vilhete,Midfield,https://www.transfermarkt.co.uk/mauro-vilhete/profil/spieler/134283,31.0,793,Joined from Hornchurch FC,https://www.transfermarkt.co.uk/hornchurch-fc/startseite/verein/3868/saison_id/2024,1.73,right,Sintra,Right Midfield,Left Midfield,Central Midfield,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Alfie Williams,Midfield,https://www.transfermarkt.co.uk/alfie-williams/profil/spieler/776084,21.0,1238,Joined from Royston Town,https://www.transfermarkt.co.uk/royston-town/startseite/verein/41241/saison_id/2024,1.78,left,Watford,Attacking Midfield,Central Midfield,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Jonathon Page,Midfield,https://www.transfermarkt.co.uk/jonathon-page/profil/spieler/565820,23.0,253,Joined from Aldershot Town,https://www.transfermarkt.co.uk/aldershot-town/startseite/verein/3717/saison_id/2024,1.75,right,Chertsey,Defensive Midfield,Central Midfield,Centre-Back,Farnborough FC,https://www.transfermarkt.co.uk/fc-farnborough/leistungsdaten/verein/4279
Charlie George,Midfield,https://www.transfermarkt.co.uk/charlie-george/profil/spieler/1076908,,0,Unknown,,,Unknown,Unknown,Central Midfield,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Teimuraz Vazagashvili,Midfield,https://www.transfermarkt.co.uk/teimuraz-vazagashvili/profil/spieler/1082179,21.0,0,Unknown,,,Unknown,Unknown,Unknown,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Mike Atkinson,Midfield,https://www.transfermarkt.co.uk/mike-atkinson/profil/spieler/276918,26.0,1143,Joined from Basingstoke Town,https://www.transfermarkt.co.uk/basingstoke-town/startseite/verein/3055/saison_id/2024,,right,Woking,Central Midfield,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Joshua Keeya,Midfield,https://www.transfermarkt.co.uk/joshua-keeya/profil/spieler/1299555,21.0,1253,Joined from Badshot Lea FC,https://www.transfermarkt.co.uk/badshot-lea-fc/startseite/verein/45974/saison_id/2024,,Unknown,Galway,Central Midfield,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
George Hunt,Midfield,https://www.transfermarkt.co.uk/george-hunt/profil/spieler/883664,23.0,176,Unknown,,1.8,right,Wexham,Central Midfield,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Odei Martin,Midfield,https://www.transfermarkt.co.uk/odei-martin/profil/spieler/786018,27.0,496,Joined from Worthing FC,https://www.transfermarkt.co.uk/worthing-fc/startseite/verein/8123/saison_id/2024,1.75,right,Irún,Central Midfield,Right Midfield,Defensive Midfield,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Shane Dunne,Midfield,https://www.transfermarkt.co.uk/shane-dunne/profil/spieler/218185,31.0,0,Unknown,,,Unknown,Meath,Defensive Midfield,Central Midfield,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Jaden Brissett,Midfield,https://www.transfermarkt.co.uk/jaden-brissett/profil/spieler/494221,23.0,264,Joined from Southall United,https://www.transfermarkt.co.uk/southall-united/startseite/verein/27954/saison_id/2024,1.75,Unknown,London,Attacking Midfield,Centre-Forward,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Callum O'Keeffe,Midfield,https://www.transfermarkt.co.uk/callum-okeeffe/profil/spieler/1083657,,2,Unknown,,,Unknown,Unknown,Central Midfield,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Isaac Brown,Midfield,https://www.transfermarkt.co.uk/isaac-brown/profil/spieler/1305083,,0,Unknown,,,Unknown,Unknown,Central Midfield,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Charles Hagan,Attack,https://www.transfermarkt.co.uk/charles-hagan/profil/spieler/733563,23.0,6,Joined from Without Club,https://www.transfermarkt.co.uk/without-club/startseite/verein/515/saison_id/2024,1.78,right,London,Right Winger,Centre-Forward,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
James Roberts,Attack,https://www.transfermarkt.co.uk/james-roberts/profil/spieler/250317,28.0,1389,Joined from Havant & Waterlooville FC,https://www.transfermarkt.co.uk/havant-amp-waterlooville-fc/startseite/verein/2794/saison_id/2024,,Unknown,Stoke Mandeville,Centre-Forward,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Josh Williams,Attack,https://www.transfermarkt.co.uk/josh-williams/profil/spieler/1299575,26.0,1,Joined from Whitstable Town,https://www.transfermarkt.co.uk/whitstable-town/startseite/verein/34469/saison_id/2024,,both,London,Left Winger,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Ibrahim Jalloh,Attack,https://www.transfermarkt.co.uk/ibrahim-jalloh/profil/spieler/1343740,,1,Joined from Billericay Town,https://www.transfermarkt.co.uk/billericay-town/startseite/verein/7067/saison_id/2024,,Unknown,Unknown,Left Winger,Right Winger,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Alex Wall,Attack,https://www.transfermarkt.co.uk/alex-wall/profil/spieler/208378,34.0,419,Joined from Dartford FC,https://www.transfermarkt.co.uk/dartford-fc/startseite/verein/4074/saison_id/2024,1.91,right,Thatcham,Centre-Forward,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Oluwabunmi Babajide,Attack,https://www.transfermarkt.co.uk/oluwabunmi-babajide/profil/spieler/652111,21.0,850,Joined from Carshalton Athletic,https://www.transfermarkt.co.uk/carshalton-athletic/startseite/verein/8908/saison_id/2024,1.87,right,London,Centre-Forward,,,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Gianni Crichlow,Attack,https://www.transfermarkt.co.uk/gianni-crichlow/profil/spieler/489037,26.0,222,Joined from Braintree Town,https://www.transfermarkt.co.uk/braintree-town/startseite/verein/6340/saison_id/2024,1.67,right,London,Left Winger,Right Winger,Centre-Forward,Hampton & Richmond Borough,https://www.transfermarkt.co.uk/hampton-amp-richmond-borough/leistungsdaten/verein/8820
Jack Turner,Goalkeeper,https://www.transfermarkt.co.uk/jack-turner/profil/spieler/125825,32.0,1620,Unknown,,1.88,Unknown,Ashford,Goalkeeper,,,Farnborough FC,https://www.transfermarkt.co.uk/fc-farnborough/leistungsdaten/verein/4279
